,name,shortcut,project_json_link
48,"CMAwRo 2: Corpus of Mesopotamian Anti-witchcraft Rituals, vol. 2",cmawro-cmawr2,https://oracc.museum.upenn.edu/json/cmawro-cmawr2.zip
49,"CMAwRo 3: Corpus of Mesopotamian Anti-witchcraft Rituals, vol. 3",cmawro-cmawr3,https://oracc.museum.upenn.edu/json/cmawro-cmawr3.zip
50,MaqlÃ»,cmawro-maqlu,https://oracc.museum.upenn.edu/json/cmawro-maqlu.zip
51,Amarna: The Amarna Texts,contrib-amarna,https://oracc.museum.upenn.edu/json/contrib-amarna.zip
52,contrib/jacobsen: Thorkild's Jacobsen's Sumerological Notes to The Harps That Once,contrib-jacobsen,https://oracc.museum.upenn.edu/json/contrib-jacobsen.zip
53,contrib/lambert: The Notebooks of W.G. Lambert,contrib-lambert,https://oracc.museum.upenn.edu/json/contrib-lambert.zip
54,"CTIJ: Cuneiform Texts Mentioning Israelites, Judeans, and Other Related Groups",ctij,https://oracc.museum.upenn.edu/json/ctij.zip
55,DCCLT: Digital Corpus of Cuneiform Lexical Texts,dcclt,https://oracc.museum.upenn.edu/json/dcclt.zip
56,DCCLT/ebla: DCCLT/Ebla Lexical Texts,dcclt-ebla,https://oracc.museum.upenn.edu/json/dcclt-ebla.zip
57,"dcclt/Jena: dcclt/Lexical Texts in the Hilprecht Collection, Jena",dcclt-jena,https://oracc.museum.upenn.edu/json/dcclt-jena.zip
58,DCCLT/Nineveh: DCCLT/Lexical Texts in the Royal Libraries at Nineveh,dcclt-nineveh,https://oracc.museum.upenn.edu/json/dcclt-nineveh.zip
59,DCCLT/signlists: DCCLT/Reading the Signs,dcclt-signlists,https://oracc.museum.upenn.edu/json/dcclt-signlists.zip
60,DCCMT: Digital Corpus of Cuneiform Mathematical Texts,dccmt,https://oracc.museum.upenn.edu/json/dccmt.zip
61,DSSt: Datenbank sumerischer Streitliteratur,dsst,https://oracc.museum.upenn.edu/json/dsst.zip
62,eCUT: Electronic Corpus of Urartian Texts,ecut,https://oracc.museum.upenn.edu/json/ecut.zip
63,EDLEX: Early Dynastic Lexical Texts,edlex,https://oracc.museum.upenn.edu/json/edlex.zip
64,eISL: electronic ISL: A Corpus of First Millennium Emesal Liturgies,eisl,https://oracc.museum.upenn.edu/json/eisl.zip
65,ePSD2: electronic PSD 2nd Edition,epsd2,https://oracc.museum.upenn.edu/json/epsd2.zip
66,ETCSRI: Electronic Text Corpus of Sumerian Royal Inscriptions,etcsri,https://oracc.museum.upenn.edu/json/etcsri.zip
67,Glass: Corpus of Glass Technological Texts,glass,https://oracc.museum.upenn.edu/json/glass.zip
68,"HBTIN: Hellenistic Babylonia: Texts, Iconography, Names",hbtin,https://oracc.museum.upenn.edu/json/hbtin.zip
69,IRAQ: IRAQ Journal,iraq,https://oracc.museum.upenn.edu/json/iraq.zip
70,Iraq/Iraq85: IRAQ/IRAQ 85 2023,iraq-iraq85,https://oracc.museum.upenn.edu/json/iraq-iraq85.zip
71,NERE: Near Eastern Royal Epics,nere,https://oracc.museum.upenn.edu/json/nere.zip
72,Nimrud: Nimrud: Materialities of Assyrian Knowledge Production,nimrud,https://oracc.museum.upenn.edu/json/nimrud.zip
73,obel: Old Babylonian Emesal Liturgies,obel,https://oracc.museum.upenn.edu/json/obel.zip
74,OBMC: Old Babylonian Model Contracts,obmc,https://oracc.museum.upenn.edu/json/obmc.zip
75,OBTA: Old Babylonian Tabular Accounts,obta,https://oracc.museum.upenn.edu/json/obta.zip
76,OGSL: Oracc Global Sign List,ogsl,https://oracc.museum.upenn.edu/json/ogsl.zip
77,OIMEA: Official Inscriptions of the Middle East in Antiquity,oimea,https://oracc.museum.upenn.edu/json/oimea.zip
78,OSL: Oracc Sign List,osl,https://oracc.museum.upenn.edu/json/osl.zip
79,PNAo: Prosopography of the Neo-Assyrian Empire online,pnao,https://oracc.museum.upenn.edu/json/pnao.zip
80,Qcat: The Q Catalogue,qcat,https://oracc.museum.upenn.edu/json/qcat.zip
81,RIAo: Royal Inscriptions of Assyria online,riao,https://oracc.museum.upenn.edu/json/riao.zip
82,RIBo: Royal Inscriptions of Babylonia online,ribo,https://oracc.museum.upenn.edu/json/ribo.zip
83,Scores: Scores of the Inscriptions of the Neo-Babylonian Dynasty,ribo-bab7scores,https://oracc.museum.upenn.edu/json/ribo-bab7scores.zip
84,Babylon 10: The Borsippa Inscription of Antiochus I Soter,ribo-babylon10,https://oracc.museum.upenn.edu/json/ribo-babylon10.zip
85,Babylon 2: The Inscriptions of the Second Dynasty of Isin,ribo-babylon2,https://oracc.museum.upenn.edu/json/ribo-babylon2.zip
86,Babylon 3: The Inscriptions of the Second Dynasty of the Sealand,ribo-babylon3,https://oracc.museum.upenn.edu/json/ribo-babylon3.zip
87,Babylon 4: The Inscriptions of the Bazi Dynasty,ribo-babylon4,https://oracc.museum.upenn.edu/json/ribo-babylon4.zip
88,Babylon 5: The Inscriptions of the Elamite Dynasty,ribo-babylon5,https://oracc.museum.upenn.edu/json/ribo-babylon5.zip
89,Babylon 6: The Inscriptions of the Period of the Uncertain Dynasties,ribo-babylon6,https://oracc.museum.upenn.edu/json/ribo-babylon6.zip
90,Babylon 7: The Inscriptions of the Neo-Babylonian Dynasty,ribo-babylon7,https://oracc.museum.upenn.edu/json/ribo-babylon7.zip
91,Babylon 8: The Inscriptions of Cyrus II and His Successors,ribo-babylon8,https://oracc.museum.upenn.edu/json/ribo-babylon8.zip
92,Sources: Sources for Inscriptions of the Rulers of Babylonia,ribo-sources,https://oracc.museum.upenn.edu/json/ribo-sources.zip
93,RÄ«m-Anum: The House of Prisoners,rimanum,https://oracc.museum.upenn.edu/json/rimanum.zip
94,RINAP: Royal Inscriptions of the Neo-Assyrian Period,rinap,https://oracc.museum.upenn.edu/json/rinap.zip
95,RINAP 1: Tiglath-pileser III and Shalmaneser V,rinap-rinap1,https://oracc.museum.upenn.edu/json/rinap-rinap1.zip
96,RINAP 2: Sargon II,rinap-rinap2,https://oracc.museum.upenn.edu/json/rinap-rinap2.zip
97,RINAP 3: Sennacherib,rinap-rinap3,https://oracc.museum.upenn.edu/json/rinap-rinap3.zip
98,RINAP 4: Esarhaddon,rinap-rinap4,https://oracc.museum.upenn.edu/json/rinap-rinap4.zip
99,RINAP 5: Ashurbanipal and Successors,rinap-rinap5,https://oracc.museum.upenn.edu/json/rinap-rinap5.zip
100,RINAP 5: Ashurbanipal and Successors,rinap-rinap5p1,https://oracc.museum.upenn.edu/json/rinap-rinap5p1.zip
101,RINAP Scores,rinap-scores,https://oracc.museum.upenn.edu/json/rinap-scores.zip
102,RINAP Sources,rinap-sources,https://oracc.museum.upenn.edu/json/rinap-sources.zip
103,SAAo: State Archives of Assyria Online,saao,https://oracc.museum.upenn.edu/json/saao.zip
104,Assyrian Empire Builders,saao-aebp,https://oracc.museum.upenn.edu/json/saao-aebp.zip
105,Knowledge and Power,saao-knpp,https://oracc.museum.upenn.edu/json/saao-knpp.zip
106,"SAAo/SAA01: The Correspondence of Sargon II, Part I: Letters from Assyria and the West",saao-saa01,https://oracc.museum.upenn.edu/json/saao-saa01.zip
107,SAAo/SAA02: Neo-Assyrian Treaties and Loyalty Oaths,saao-saa02,https://oracc.museum.upenn.edu/json/saao-saa02.zip
108,SAAo/SAA03: Court Poetry and Literary Miscellanea,saao-saa03,https://oracc.museum.upenn.edu/json/saao-saa03.zip
109,SAAo/SAA04: Queries to the Sungod: Divination and Politics in Sargonid Assyria,saao-saa04,https://oracc.museum.upenn.edu/json/saao-saa04.zip
110,"SAAo/SAA05: The Correspondence of Sargon II, Part II: Letters from the Northern and Northeastern Provinces",saao-saa05,https://oracc.museum.upenn.edu/json/saao-saa05.zip
111,"SAAo/SAA06: Legal Transactions of the Royal Court of Nineveh, Part I: Tiglath-Pileser III through Esarhaddon",saao-saa06,https://oracc.museum.upenn.edu/json/saao-saa06.zip
112,"SAAo/SAA07: Imperial Administrative Records, Part I: Palace and Temple Administration",saao-saa07,https://oracc.museum.upenn.edu/json/saao-saa07.zip
113,SAAo/SAA08: Astrological Reports to Assyrian Kings,saao-saa08,https://oracc.museum.upenn.edu/json/saao-saa08.zip
114,SAAo/SAA09: Assyrian Prophecies,saao-saa09,https://oracc.museum.upenn.edu/json/saao-saa09.zip
115,SAAo/SAA10: Letters from Assyrian and Babylonian Scholars,saao-saa10,https://oracc.museum.upenn.edu/json/saao-saa10.zip
116,"SAAo/SAA11: Imperial Administrative Records, Part II: Provincial and Militar Administration",saao-saa11,https://oracc.museum.upenn.edu/json/saao-saa11.zip
117,"SAAo/SAA12: Grants, Decres and Gifts of the Neo-Assyrian Period",saao-saa12,https://oracc.museum.upenn.edu/json/saao-saa12.zip
118,SAAo/SAA13: Letters from Assyrian and Babylonian Priests to Kings Esarhaddon and Assurbanipal,saao-saa13,https://oracc.museum.upenn.edu/json/saao-saa13.zip
119,"SAAo/SAA14: Legal Transactions of the Royal Court of Nineveh, Part II: Assurbanipal Through Sin-Å¡arru-iÅ¡kun",saao-saa14,https://oracc.museum.upenn.edu/json/saao-saa14.zip
120,"SAAo/SAA15: The Correspondence of Sargon II, Part III: Letters from Babylonia and the Eastern Provinces",saao-saa15,https://oracc.museum.upenn.edu/json/saao-saa15.zip
121,SAAo/SAA16: The Political Correspondence of Esarhaddon,saao-saa16,https://oracc.museum.upenn.edu/json/saao-saa16.zip
122,SAAo/SAA17: The Neo-Babylonian Correspondence of Sargon and Sennacherib,saao-saa17,https://oracc.museum.upenn.edu/json/saao-saa17.zip
123,SAAo/SAA18: The Babylonian Correspondence of Esarhaddon and Letters to Assurbanipal and Sin-Å¡arru-iÅ¡kun from Northern and Central Babylonia,saao-saa18,https://oracc.museum.upenn.edu/json/saao-saa18.zip
124,SAAo/SAA19: The Correspondence of Tiglath-Pileser III and Sargon II from Calah/Nimrud,saao-saa19,https://oracc.museum.upenn.edu/json/saao-saa19.zip
125,SAAo/SAA20: Assyrian Royal Rituals and Cultic Texts,saao-saa20,https://oracc.museum.upenn.edu/json/saao-saa20.zip
126,"SAAo/SAA21: The Correspondence of Assurbanipal, Part I: Letters from Assyria, Babylonia, and Vassal States",saao-saa21,https://oracc.museum.upenn.edu/json/saao-saa21.zip
127,SAAo/SAAS2: SAAo/Assyrian Eponym List,saao-saas2,https://oracc.museum.upenn.edu/json/saao-saas2.zip
128,Suhu: The Inscriptions of Suhu online,suhu,https://oracc.museum.upenn.edu/json/suhu.zip
129,TCMA: Archival Texts of the Middle Assyrian Period,tcma,https://oracc.museum.upenn.edu/json/tcma.zip
130,TSAE: Textual Sources of the Assyrian Empire,tsae,https://oracc.museum.upenn.edu/json/tsae.zip
131,URAP: Ur Regional Archaeology Project,urap,https://oracc.museum.upenn.edu/json/urap.zip
132,Xcat: The X Catalogue,xcat,https://oracc.museum.upenn.edu/json/xcat.zip
